"label","year","month","day","region","island","side","reef","reef_joined","protection_status","latitude","longitude","habitat","transect","phylum","taxa1","taxa2","taxa3","functional_group","species","quantity"
"ALG",2019,8,7,"Alacranes","Arrecife Alacranes","Leeward","Cordillera",1,"NTZ",22.39575,-89.706083,"Coral",1,"Ochrophyta","Phaeophyceae","Dictyotophycidae","Dictyotales","Corticated foliose","Dictyota sp",2
"ALG",2019,8,7,"Alacranes","Arrecife Alacranes","Leeward","Cordillera",1,"NTZ",22.39575,-89.706083,"Coral",1,"Ochrophyta","Phaeophyceae","Dictyotophycidae","Dictyotales","Corticated foliose","Lobophora variegata",86
"ALG",2019,8,7,"Alacranes","Arrecife Alacranes","Leeward","Cordillera",1,"NTZ",22.39575,-89.706083,"Coral",1,"Rhodophyta","Florideophyceae","Corallinophycidae","Corallinales","CCA","Calcarea costrosa",3
"ALG",2019,8,7,"Alacranes","Arrecife Alacranes","Leeward","Cordillera",1,"NTZ",22.39575,-89.706083,"Coral",2,"Ochrophyta","Phaeophyceae","Dictyotophycidae","Dictyotales","Corticated foliose","Dictyota sp",2
"ALG",2019,8,7,"Alacranes","Arrecife Alacranes","Leeward","Cordillera",1,"NTZ",22.39575,-89.706083,"Coral",2,"Ochrophyta","Phaeophyceae","Dictyotophycidae","Dictyotales","Corticated foliose","Lobophora variegata",76
"ALG",2019,8,7,"Alacranes","Arrecife Alacranes","Leeward","Cordillera",1,"NTZ",22.39575,-89.706083,"Coral",2,"Rhodophyta","Florideophyceae","Corallinophycidae","Corallinales","CCA","Calcarea costrosa",1
"ALG",2019,8,7,"Alacranes","Arrecife Alacranes","Leeward","Cordillera",1,"NTZ",22.39575,-89.706083,"Coral",3,"Ochrophyta","Phaeophyceae","Dictyotophycidae","Dictyotales","Corticated foliose","Lobophora variegata",84
"ALG",2019,8,7,"Alacranes","Arrecife Alacranes","Leeward","Cordillera",1,"NTZ",22.39575,-89.706083,"Coral",4,"Ochrophyta","Phaeophyceae","Dictyotophycidae","Dictyotales","Corticated foliose","Lobophora variegata",44
"ALG",2019,8,7,"Alacranes","Arrecife Alacranes","Leeward","Cordillera",1,"NTZ",22.39575,-89.706083,"Coral",5,"Ochrophyta","Phaeophyceae","Dictyotophycidae","Dictyotales","Corticated foliose","Dictyota sp",1
"ALG",2019,8,7,"Alacranes","Arrecife Alacranes","Leeward","Cordillera",1,"NTZ",22.39575,-89.706083,"Coral",5,"Ochrophyta","Phaeophyceae","Dictyotophycidae","Dictyotales","Corticated foliose","Lobophora variegata",42
